COURSE CODE,QUESTION NO.,QUESTIONS,A,B,C,D,ANSWER
COMP3112,1,Merge sort uses which of the following technique to implement sorting?,backtracking,greedy algorithm,divide and conquer, dynamic programming,C
COMP3112,2, What is the average case time complexity of merge sort?," O(n log n)
",O(n2),O(n2 log n),O(n2 log n),A
COMP3112,3,What is the auxiliary space complexity of merge sort?,O(1),O(log n),O(n),O(n log n),C
COMP3112,4, What will be the best case time complexity of merge sort?,O(n log n),O(n2),O(n2 log n),O(n log n2),A
COMP3112,5,which of the following is not a variant of merge sort?, in-place merge sort,bottom up merge sort, top down merge sort,linear merge sort,D
COMP3112,6,Which of the following is not in place sorting algorithm by default?, quick sort,merge sort,heap sort, insertion sort,A
COMP3112,7,Which of the following sorting algorithm does not use recursion?, quick sort," bottom up merge sort
",merge sort,heap sort,B
COMP3112,8,"Which of the following method is used for sorting in merge sort?
",partitioning,merging,exchanging,selection,B
COMP3112,9, Choose the incorrect statement about merge sort from the following, it is an adaptive algorithm,it is a comparison based sor, it is not an in place algorithm,it is stable algorithm,A
COMP3112,10,Which of the following is not a stable sorting algorithm?," Merge sort
",Cocktail sort, Bubble sort,Quick sort,D 
COMP3112,11," Merge sort can be implemented using O(1) auxiliary space.
",yes,true ,flase,none of above,B
COMP3112,12, What is the worst case time complexity of merge sort," O(n log n)
",O(n2)," O(n2 log n)
", O(n log n2),A
COMP3112,13, Which of the following sorting algorithm makes use of merge sort?, bogo sort,quick sort, tim sort, intro sort,C
COMP3112,14,Which of the following sorting algorithm does not use recursion?,quick sort, merge sort,heap sort,bottom up merge sort,D
COMP3112,15,Merge sort is preferred for arrays over linked lists., true,FALSE,,,B
,,,,,,,
,,,,,,,
,,,,,,,
